Actual IPC,Predicted IPC
0.038599,0.021946979999999998
0.212188,0.21372409999999978
0.215913,0.18565338999999995
0.098451,0.10190155
0.504221,0.7258566599999997
0.605531,0.9839451299999987
0.063742,0.06471448000000012
0.122115,0.11912542000000008
0.056967,0.06372095999999995
0.165723,0.15845491999999997
0.153841,0.13784864000000013
0.189887,0.18372750000000004
0.015301,0.018161969999999996
0.741379,0.7549525300000003
0.161837,0.17472679000000033
0.087196,0.10171674999999991
0.116121,0.10794089
0.212272,0.21705853999999994
0.055984,0.07958043000000002
0.200269,0.2745908300000001
0.202876,0.22762797999999995
0.020396,0.027979079999999986
0.559594,0.7377769000000002
0.15094,0.1549103599999999
1.024455,0.77088241
0.321375,0.30560745000000034
0.54196,0.5224087900000002
0.288168,0.28854300999999993
0.115542,0.08923958000000004
0.05424,0.10047169999999989
0.199832,0.22685850999999996
1.158514,1.0933073799999986
0.815363,0.866439559999999
0.152025,0.10076956
0.146515,0.15252817999999987
0.056051,0.06159309999999991
0.034604,0.023730640000000004
0.054779,0.09424178999999996
0.085753,0.06289359000000007
0.077567,0.08923958000000004
0.221791,0.26626634000000005
0.088003,0.09046998000000003
0.15765,0.13646655
0.037293,0.031177889999999996
0.086957,0.10777254999999991
0.299659,0.29445308999999975
0.018201,0.019028840000000005
0.107937,0.10580232000000013
0.345073,0.2799943300000001
0.078065,0.11526820000000003
0.759472,0.6608100199999997
0.035615,0.03066156000000001
0.044332,0.044312700000000024
0.122977,0.11737919000000002
0.034244,0.0255738
0.101587,0.09792963000000002
0.28874,0.27120727999999983
0.542578,0.7188997399999998
0.330597,0.2929746400000003
0.05738,0.06579549999999995
0.160122,0.21175278000000014
0.055527,0.09443201
0.068898,0.06807595000000002
0.086198,0.07457311000000008
0.054059,0.09287338999999997
0.758802,0.7883703199999992
0.093699,0.10873783999999995
0.090156,0.10178282000000008
0.035327,0.03459945000000001
0.216448,0.2232075500000002
0.041186,0.04158144999999999
0.05793,0.059111500000000025
0.032768,0.024992279999999995
0.055644,0.09351921999999999
0.299304,0.2844101200000004
0.033092,0.029944949999999988
0.353686,0.36835325000000013
0.017318,0.018118449999999987
0.063459,0.06339953000000001
0.056582,0.06561783999999997
0.084949,0.08413617999999995
0.544045,0.7122951699999998
0.361674,0.32416011000000045
0.215667,0.22135814000000015
0.687909,0.7655605599999993
0.135708,0.13547038000000025
0.163693,0.1524484399999999
0.037552,0.02716142000000001
0.188424,0.18460390999999984
0.018534,0.02585105999999999
0.299332,0.27921638000000004
0.055185,0.06425230999999992
0.204521,0.19136353000000003
0.173039,0.16056449
0.145159,0.12285245999999996
0.283051,0.22967131999999993
0.017341,0.02522168000000001
0.203393,0.20429485
0.237732,0.22940529999999978
0.101185,0.10430447
0.2004,0.20226563999999997
0.034917,0.032732130000000026
0.031191,0.031058380000000003
0.055014,0.09351921999999999
0.029664,0.02842552
0.015201,0.02014049999999999
0.105955,0.10239733
0.161579,0.15254338999999997
0.217893,0.2313958000000001
0.040774,0.041681380000000046
0.204214,0.13483470000000009
0.05393,0.09629077999999996
0.713936,0.7274405300000004
0.193279,0.18566516000000022
0.018181,0.02240405000000002
0.293976,0.20826307000000013
