model,numLoadInsts,numStoreInsts,numInsts,numBranches,intAluAccesses,numOps,ipc,L1Icache,L1Dcache,L2cache,pipelinewidth
2.0,0.15618642252917872,0.012323007104147495,60740856.0,0.0898295868599547,0.9766470363868431,0.46239443843201683,1.4168881650268479e-09,0.0005394721470504137,0.008631554352806619,0.017263108705613237,1.317070671509799e-07
2.0,0.1557088268169374,0.012206226360017234,60570317.0,0.0900628273086304,0.9767342310590846,0.4643211459500864,1.423106304693766e-09,0.0005409910600269766,0.008655856960431625,0.01731171392086325,1.3207789551439857e-07
2.0,0.15610943311244727,0.01221444115570963,60790010.0,0.08976154141116278,0.9766111076474572,0.46219966076662927,1.4180454979362564e-09,0.0005390359369903048,0.008624574991844876,0.017249149983689753,1.3160057055427363e-07
2.0,0.15595051081541067,0.012257230490919889,60443752.0,0.08964053058784306,0.9762243250551356,0.46240451783999115,1.418723973323165e-09,0.0005421238575659565,0.008673981721055305,0.01734796344211061,1.323544574135636e-07
2.0,0.1559268158275354,0.012219814767448857,60705421.0,0.08976033623092738,0.976517467855136,0.46203656177592445,1.4175175558044479e-09,0.0005397870480133891,0.008636592768214225,0.01727318553642845,1.3178394726889382e-07
2.0,0.2022623144603073,0.21932833821652267,11549146.0,0.03014049696834727,0.2738771334261425,0.98763726772525,2.911817029588162e-09,0.0028372660627894045,0.04539625700463047,0.09079251400926094,6.926919098606945e-07
2.0,0.1838860198539856,0.20553450243858443,12539447.0,0.030453815068559244,0.26621301561384647,0.9897103117864767,2.994709415813951e-09,0.0026131933888312617,0.04181109422130019,0.08362218844260037,6.379866671951322e-07
2.0,0.20295272122577399,0.2158343141535322,11880363.0,0.031288269558766846,0.27642404529221876,0.9844115874237176,2.9127056134564243e-09,0.002758164880988906,0.044130638095822496,0.08826127619164499,6.733800978976821e-07
2.0,0.21090086576682646,0.2223963712272773,11369574.0,0.031100549589632823,0.27873498162727994,0.9843773390278299,2.8820780796184623e-09,0.0028820780796184626,0.0461132492738954,0.0922264985477908,7.036323436568512e-07
2.0,0.19945004175248543,0.21944484310760812,11510692.0,0.029629235149372428,0.26908608101059434,0.9906142046021212,2.936574099975918e-09,0.0028467445745225394,0.04554791319236063,0.09109582638472126,6.950059996392918e-07
