model,numLoadInsts,numStoreInsts,numInsts,numBranches,intAluAccesses,numOps,ipc
2.0,19574976.0,1843181.0,135146611.0,14896421.0,150240522.0,75570078.0,0.345073
2.0,19618449.0,1842664.0,135718990.0,14994373.0,150889711.0,76103188.0,0.347626
2.0,15177167.0,3400732.0,45712492.0,1175443.0,10306148.0,45601511.0,0.054059
2.0,15196201.0,3388076.0,45786816.0,1189342.0,10331248.0,45681652.0,0.05424
2.0,15342299.0,3421861.0,46186229.0,1189324.0,10368310.0,46081848.0,0.054713
2.0,15126100.0,3374802.0,45524865.0,1168372.0,10206345.0,45425599.0,0.05393
2.0,15621028.0,3486271.0,46970002.0,1195578.0,10475168.0,46867698.0,0.055644
2.0,15444802.0,3446811.0,46443534.0,1182726.0,10362128.0,46337628.0,0.055014
2.0,15381895.0,3432997.0,46241931.0,1175224.0,10304611.0,46139353.0,0.054779
2.0,15591742.0,3479991.0,46873398.0,1190743.0,10441348.0,46769597.0,0.055527
2.0,12793124.0,817219.0,42729480.0,3849874.0,42245503.0,39203052.0,0.050492
2.0,12872974.0,674525.0,46198698.0,4570079.0,45879332.0,43009254.0,0.056051
2.0,13223268.0,776246.0,47597293.0,4710952.0,47157957.0,44163923.0,0.056967
2.0,12983854.0,739800.0,47225255.0,4691245.0,46807057.0,43874968.0,0.05738
2.0,12863185.0,776143.0,45466828.0,4377839.0,45015427.0,42070210.0,0.055185
2.0,13162145.0,772953.0,47609310.0,4698918.0,47140578.0,44143141.0,0.057149
2.0,12980739.0,752128.0,46765773.0,4631211.0,46336366.0,43398077.0,0.056582
2.0,12990278.0,660004.0,46491374.0,4556635.0,46188777.0,43311019.0,0.056443
2.0,2866653.0,2990266.0,14423993.0,410805.0,3793083.0,14152931.0,0.020078
2.0,2909409.0,2880591.0,12383093.0,394757.0,3633912.0,12124470.0,0.016336
2.0,2842115.0,2981542.0,14489980.0,407468.0,3713162.0,14248720.0,0.020396
2.0,2880606.0,2916675.0,13143283.0,386881.0,3596785.0,12879378.0,0.017832
2.0,2917387.0,2890222.0,12120790.0,365732.0,3477345.0,11858221.0,0.015902
2.0,2863667.0,2962484.0,13805951.0,386205.0,3587878.0,13568724.0,0.01914
2.0,2885359.0,2895256.0,12519973.0,369479.0,3499641.0,12255967.0,0.016691
2.0,2853619.0,2940370.0,13432351.0,381417.0,3568356.0,13184423.0,0.018438
2.0,12166343.0,6087217.0,85141329.0,6091581.0,85157904.0,85076918.0,0.203258
2.0,12150745.0,6075463.0,85041637.0,6081493.0,85056417.0,84995400.0,0.203168
2.0,12162507.0,6081339.0,85121795.0,6087409.0,85136893.0,85076967.0,0.203364
2.0,12158128.0,6078766.0,85093375.0,6085447.0,85108973.0,85044778.0,0.203282
2.0,12160847.0,6080387.0,85111524.0,6087016.0,85127105.0,85066310.0,0.203338
2.0,12164193.0,6082213.0,85134263.0,6088288.0,85149451.0,85089080.0,0.203393
2.0,12151555.0,6076348.0,85043655.0,6080525.0,85057425.0,84998625.0,0.20318
2.0,12157189.0,6078629.0,85084377.0,6084732.0,85099017.0,85041038.0,0.203279
2.0,12256174.0,499535.0,71838571.0,8462068.0,73712798.0,44206879.0,0.28874
2.0,12356900.0,496186.0,73620236.0,8807017.0,75496461.0,46153775.0,0.300872
2.0,12552236.0,494818.0,76375731.0,9295575.0,78242786.0,49078609.0,0.319817
2.0,12499391.0,496264.0,75677580.0,9174267.0,77546001.0,48325623.0,0.315298
2.0,12359308.0,514276.0,73972128.0,8897876.0,75833339.0,46751489.0,0.30624
2.0,12076623.0,548064.0,70394773.0,8265058.0,72276180.0,43011464.0,0.283051
2.0,12227926.0,495537.0,72680280.0,8703697.0,74535710.0,45488924.0,0.299659
2.0,12254418.0,494373.0,73123982.0,8777437.0,74974277.0,45974910.0,0.302253
1.0,15996358.0,1739021.0,115178209.0,13441888.0,119305918.0,72017049.0,0.208768
1.0,16256350.0,1731426.0,118390498.0,13981500.0,122475467.0,75244414.0,0.218013
1.0,15339881.0,1981503.0,107153062.0,12037116.0,111069659.0,63836855.0,0.178411
1.0,15975848.0,1723877.0,115065844.0,13424260.0,119208401.0,71917325.0,0.208639
